Departamento 	Municipio 	casos
Amazonas	Total	23
Amazonas	La Pedrera	1
Amazonas	Leticia	22
Antioquia	Total	3696
Antioquia	Abejorral	3
Antioquia	Abriaqui	1
Antioquia	Alejandria	1
Antioquia	Amaga	12
Antioquia	Amalfi	8
Antioquia	Andes	45
Antioquia	Angelopolis	3
Antioquia	Angostura	8
Antioquia	Anori	3
Antioquia	Anza	2
Antioquia	Apartado	12
Antioquia	Arboletes	5
Antioquia	Barbosa	32
Antioquia	Bello	122
Antioquia	Betania	3
Antioquia	Betulia	3
Antioquia	Briceno	13
Antioquia	Buritica	5
Antioquia	Caceres	1
Antioquia	Caicedo	1
Antioquia	Caldas	23
Antioquia	Canasgordas	1
Antioquia	Caracoli	2
Antioquia	Carepa	1
Antioquia	Carolina	1
Antioquia	Caucasia	27
Antioquia	Chigorodo	2
Antioquia	Cisneros	7
Antioquia	Ciudad Bolivar	10
Antioquia	Cocorna	1
Antioquia	Concepcion	1
Antioquia	Concordia	6
Antioquia	Copacabana	36
Antioquia	Dabeiba	4
Antioquia	Donmatias	4
Antioquia	Ebejico	7
Antioquia	El Bagre	2
Antioquia	El Carmen de Viboral	8
Antioquia	El Santuario	4
Antioquia	Entrerrios	2
Antioquia	Envigado	114
Antioquia	Fredonia	3
Antioquia	Frontino	1
Antioquia	Giraldo	3
Antioquia	Girardota	19
Antioquia	Gomez Plata	4
Antioquia	Granada	2
Antioquia	Guadalupe	3
Antioquia	Guarne	16
Antioquia	Guatape	5
Antioquia	Heliconia	3
Antioquia	Hispania	1
Antioquia	Itagui	206
Antioquia	Ituango	12
Antioquia	Jardin	13
Antioquia	Jerico	2
Antioquia	La Ceja	25
Antioquia	La Estrella	51
Antioquia	La Pintada	2
Antioquia	La Union	1
Antioquia	Liborina	1
Antioquia	Marinilla	9
Antioquia	Medellin	2402
Antioquia	Montebello	3
Antioquia	Mutata	1
Antioquia	Narino	1
Antioquia	Necocli	4
Antioquia	Penol	2
Antioquia	Pueblorrico	1
Antioquia	Puerto Berrio	40
Antioquia	Puerto Nare	1
Antioquia	Puerto Triunfo	2
Antioquia	Remedios	18
Antioquia	Retiro	6
Antioquia	Rionegro	78
Antioquia	Sabanalarga	2
Antioquia	Sabaneta	32
Antioquia	Salgar	9
Antioquia	San Andres de Cuerquia	3
Antioquia	San Carlos	3
Antioquia	San Francisco	1
Antioquia	San Luis	2
Antioquia	San Pedro de los Milagros	4
Antioquia	San Rafael	5
Antioquia	San Roque	9
Antioquia	San Vicente Ferrer	3
Antioquia	Santa Barbara	2
Antioquia	Santa Fe de Antioquia	20
Antioquia	Santa Rosa de Osos	6
Antioquia	Santo Domingo	6
Antioquia	Segovia	8
Antioquia	Sonson	6
Antioquia	Sopetran	2
Antioquia	Taraza	7
Antioquia	Tarso	4
Antioquia	Titiribi	3
Antioquia	Toledo	1
Antioquia	Turbo	29
Antioquia	Uramita	1
Antioquia	Urrao	3
Antioquia	Valdivia	2
Antioquia	Vegachi	1
Antioquia	Venecia	1
Antioquia	Yarumal	24
Antioquia	Yolombo	5
Antioquia	Yondo	4
Antioquia	Zaragoza	1
Arauca	Total	209
Arauca	Arauca	140
Arauca	Arauquita	13
Arauca	Cravo Norte	1
Arauca	Fortul	3
Arauca	Puerto Rondon	1
Arauca	Saravena	20
Arauca	Tame	31
Archipielago de San Andres, Providencia y Santa Catalina	Total	193
Archipielago de San Andres, Providencia y Santa Catalina	Providencia	2
Archipielago de San Andres, Providencia y Santa Catalina	San Andres	191
Atlantico	Total	2599
Atlantico	Baranoa	29
Atlantico	Barranquilla	1958
Atlantico	Campo de la Cruz	2
Atlantico	Candelaria	3
Atlantico	Galapa	36
Atlantico	Juan de Acosta	4
Atlantico	Luruaco	9
Atlantico	Malambo	111
Atlantico	Palmar de Varela	11
Atlantico	Polonuevo	9
Atlantico	Ponedera	7
Atlantico	Puerto Colombia	30
Atlantico	Repelon	4
Atlantico	Sabanagrande	7
Atlantico	Sabanalarga	22
Atlantico	Santo Tomas	10
Atlantico	Soledad	341
Atlantico	Tubara	5
Atlantico	Usiacuri	1
Bogota	Total	7047
Bogota	Bogota	7047
Bolivar	Total	757
Bolivar	Achi	2
Bolivar	Arjona	4
Bolivar	Calamar	5
Bolivar	Cantagallo	1
Bolivar	Cartagena de Indias	612
Bolivar	Cicuco	2
Bolivar	Clemencia	1
Bolivar	Cordoba	3
Bolivar	El Carmen de Bolivar	24
Bolivar	El Penon	1
Bolivar	Magangue	49
Bolivar	Mahates	1
