Departamento 	Municipio 	casos
Amazonas	Total	23
Amazonas	La Pedrera	1
Amazonas	Leticia	22
Antioquia	Total	3696
Antioquia	Abejorral	3
Antioquia	Abriaquí	1
Antioquia	Alejandría	1
Antioquia	Amagá	12
Antioquia	Amalfi	8
Antioquia	Andes	45
Antioquia	Angelópolis	3
Antioquia	Angostura	8
Antioquia	Anorí	3
Antioquia	Anzá	2
Antioquia	Apartadó	12
Antioquia	Arboletes	5
Antioquia	Barbosa	32
Antioquia	Bello	122
Antioquia	Betania	3
Antioquia	Betulia	3
Antioquia	Briceño	13
Antioquia	Buriticá	5
Antioquia	Cáceres	1
Antioquia	Caicedo	1
Antioquia	Caldas	23
Antioquia	Cañasgordas	1
Antioquia	Caracolí	2
Antioquia	Carepa	1
Antioquia	Carolina	1
Antioquia	Caucasia	27
Antioquia	Chigorodó	2
Antioquia	Cisneros	7
Antioquia	Ciudad Bolívar	10
Antioquia	Cocorná	1
Antioquia	Concepción	1
Antioquia	Concordia	6
Antioquia	Copacabana	36
Antioquia	Dabeiba	4
Antioquia	Donmatías	4
Antioquia	Ebéjico	7
Antioquia	El Bagre	2
Antioquia	El Carmen de Viboral	8
Antioquia	El Santuario	4
Antioquia	Entrerríos	2
Antioquia	Envigado	114
Antioquia	Fredonia	3
Antioquia	Frontino	1
Antioquia	Giraldo	3
Antioquia	Girardota	19
Antioquia	Gómez Plata	4
Antioquia	Granada	2
Antioquia	Guadalupe	3
Antioquia	Guarne	16
Antioquia	Guatapé	5
Antioquia	Heliconia	3
Antioquia	Hispania	1
Antioquia	Itagüí	206
Antioquia	Ituango	12
Antioquia	Jardín	13
Antioquia	Jericó	2
Antioquia	La Ceja	25
Antioquia	La Estrella	51
Antioquia	La Pintada	2
Antioquia	La Unión	1
Antioquia	Liborina	1
Antioquia	Marinilla	9
Antioquia	Medellín	2402
Antioquia	Montebello	3
Antioquia	Mutatá	1
Antioquia	Nariño	1
Antioquia	Necoclí	4
Antioquia	Peñol	2
Antioquia	Pueblorrico	1
Antioquia	Puerto Berrío	40
Antioquia	Puerto Nare	1
Antioquia	Puerto Triunfo	2
Antioquia	Remedios	18
Antioquia	Retiro	6
Antioquia	Rionegro	78
Antioquia	Sabanalarga	2
Antioquia	Sabaneta	32
Antioquia	Salgar	9
Antioquia	San Andrés de Cuerquía	3
Antioquia	San Carlos	3
Antioquia	San Francisco	1
Antioquia	San Luis	2
Antioquia	San Pedro de los Milagros	4
Antioquia	San Rafael	5
Antioquia	San Roque	9
Antioquia	San Vicente Ferrer	3
Antioquia	Santa Bárbara	2
Antioquia	Santa Fé de Antioquia	20
Antioquia	Santa Rosa de Osos	6
Antioquia	Santo Domingo	6
Antioquia	Segovia	8
Antioquia	Sonsón	6
Antioquia	Sopetrán	2
Antioquia	Tarazá	7
Antioquia	Tarso	4
Antioquia	Titiribí	3
Antioquia	Toledo	1
Antioquia	Turbo	29
Antioquia	Uramita	1
Antioquia	Urrao	3
Antioquia	Valdivia	2
Antioquia	Vegachí	1
Antioquia	Venecia	1
Antioquia	Yarumal	24
Antioquia	Yolombó	5
Antioquia	Yondó	4
Antioquia	Zaragoza	1
Arauca	Total	209
Arauca	Arauca	140
Arauca	Arauquita	13
Arauca	Cravo Norte	1
Arauca	Fortul	3
Arauca	Puerto Rondón	1
Arauca	Saravena	20
Arauca	Tame	31
Archipiélago de San Andrés, Providencia y Santa Catalina	Total	193
Archipiélago de San Andrés, Providencia y Santa Catalina	Providencia	2
Archipiélago de San Andrés, Providencia y Santa Catalina	San Andrés	191
Atlántico	Total	2599
Atlántico	Baranoa	29
Atlántico	Barranquilla	1958
Atlántico	Campo de la Cruz	2
Atlántico	Candelaria	3
Atlántico	Galapa	36
Atlántico	Juan de Acosta	4
Atlántico	Luruaco	9
Atlántico	Malambo	111
Atlántico	Palmar de Varela	11
Atlántico	Polonuevo	9
Atlántico	Ponedera	7
Atlántico	Puerto Colombia	30
Atlántico	Repelón	4
Atlántico	Sabanagrande	7
Atlántico	Sabanalarga	22
Atlántico	Santo Tomás	10
Atlántico	Soledad	341
Atlántico	Tubará	5
Atlántico	Usiacurí	1
Bogotá, D,C,	Total	7047
Bogotá, D,C,	Bogotá, D,C,	7047
Bolívar	Total	757
Bolívar	Achí	2
Bolívar	Arjona	4
Bolívar	Calamar	5
Bolívar	Cantagallo	1
Bolívar	Cartagena de Indias	612
Bolívar	Cicuco	2
Bolívar	Clemencia	1
Bolívar	Córdoba	3
